DATE,Yt
02/01/2013,106.734
03/01/2013,102.9948
04/01/2013,91.0092
05/01/2013,90.9634
06/01/2013,100.6957
07/01/2013,110.148
08/01/2013,108.1756
09/01/2013,99.2809
10/01/2013,91.7871
11/01/2013,97.2853
12/01/2013,113.4732
01/01/2014,124.2549
02/01/2014,112.8811
03/01/2014,104.7631
04/01/2014,90.2867
05/01/2014,92.134
06/01/2014,101.878
07/01/2014,108.5497
08/01/2014,108.194
09/01/2014,100.4172
10/01/2014,92.3837
11/01/2014,99.7033
12/01/2014,109.3477
01/01/2015,120.2696
02/01/2015,116.3788
03/01/2015,104.4706
04/01/2015,89.7461
05/01/2015,91.093
06/01/2015,102.6495
07/01/2015,111.6354
08/01/2015,110.5925
09/01/2015,101.9204
10/01/2015,91.5959
11/01/2015,93.0628
12/01/2015,103.2203
01/01/2016,117.0837
02/01/2016,106.6688
03/01/2016,95.3548
04/01/2016,89.3254
05/01/2016,90.7369
06/01/2016,104.0375
07/01/2016,114.5397
08/01/2016,115.5159
09/01/2016,102.7637
10/01/2016,91.4867
11/01/2016,92.89
12/01/2016,112.7694
01/01/2017,114.8505
02/01/2017,99.4901
03/01/2017,101.0396
04/01/2017,88.353
05/01/2017,92.0805
06/01/2017,102.1532
07/01/2017,112.1538
08/01/2017,108.9312
09/01/2017,98.6154
10/01/2017,93.6137
11/01/2017,97.3359
12/01/2017,114.7212
01/01/2018,129.4048
